fips,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023",100yrpropriskpct_pctchange,100yrpropriskpct_sfha,100yrpropriskpct_fsf,NAME,FIPS
4203320,0,618,inf,0.0,0.5498220640569395,ASPINWALL,4203320
4203608,18,54,2.0,0.0096,0.0288,AVALON,4203608
4203928,14,881,61.92857142857142,0.0016922519037833917,0.10649099480236915,BALDWIN BR,4203928
4205216,5,127,24.400000000000002,0.006242197253433208,0.1585518102372035,BELL ACRES,4205216
4205312,0,145,inf,0.0,0.051656572853580336,BELLEVUE,4205312
4205504,9,61,5.777777777777778,0.011378002528445006,0.07711757269279393,BEN AVON,4205504
4205520,0,2,inf,0.0,0.011976047904191617,BEN AVON HEIGHTS,4205520
4206064,3,1630,542.3333333333334,0.00022728994620804606,0.1234942041063717,SOUTH PARK,4206064
4206064,3,1630,542.3333333333334,0.00022728994620804606,0.1234942041063717,BETHEL PARK,4206064
4207000,0,161,inf,0.0,0.22268326417704012,BLAWNOX,4207000
4207976,0,498,inf,0.0,0.32591623036649214,BRACKENRIDGE,4207976
4207992,0,952,inf,0.0,0.4791142425767489,BRADDOCK,4207992
4208008,0,103,inf,0.0,0.09279279279279279,BRADDOCK HILLS,4208008
4208064,0,34,inf,0.0,0.06170598911070781,BRADFORD WOODS,4208064
4208416,0,348,inf,0.0,0.09141055949566587,BRENTWOOD,4208416
4208624,18,425,22.61111111111111,0.007392197125256674,0.17453798767967146,BRIDGEVILLE,4208624
4211336,12,1004,82.66666666666667,0.003188097768331562,0.2667375132837407,CARNEGIE,4211336
4211680,52,529,9.173076923076923,0.015271659324522761,0.155359765051395,CASTLE SHANNON,4211680
4212496,0,46,inf,0.0,0.09236947791164658,CHALFANT,4212496
4213392,1,281,280.00000000000006,0.0011074197120708748,0.31118493909191586,CHESWICK,4213392
4213608,1,306,305.00000000000006,0.0006146281499692685,0.1880762138905962,CHURCHILL,4213608
4213704,4,528,131.0,0.0007853917141174161,0.10367170626349892,CLAIRTON,4213704
4216144,1,930,928.9999999999999,0.0003616636528028933,0.33634719710669075,CORAOPOLIS,4216144
4216848,11,308,27.0,0.004407051282051282,0.1233974358974359,CRAFTON,4216848
4219576,0,284,inf,0.0,0.08700980392156862,DORMONT,4219576
4219856,0,99,inf,0.0,0.11024498886414254,DRAVOSBURG,4219856
4220432,0,322,inf,0.0,0.09163346613545817,DUQUESNE,4220432
4221444,0,61,inf,0.0,0.04991816693944354,EAST MCKEESPORT,4221444
4221712,2,78,38.0,0.002430133657351154,0.09477521263669501,EAST PITTSBURGH,4221712
4222520,0,189,inf,0.0,0.13846153846153847,EDGEWOOD,4222520
4222576,0,473,inf,0.0,0.6578581363004172,EDGEWORTH,4222576
4222992,0,391,inf,0.0,0.49619289340101524,ELIZABETH BR,4222992
4223616,5,171,33.2,0.004233700254022015,0.14479254868755292,EMSWORTH,4223616
4224160,190,828,3.3578947368421055,0.11189634864546526,0.4876325088339223,ETNA,4224160
4226592,0,444,inf,0.0,0.1336544250451535,FOREST HILLS,4226592
4227120,1,151,150.0,0.0004589261128958238,0.0692978430472694,FOX CHAPEL,4227120
4227552,14,369,25.357142857142854,0.0024175444655499916,0.0637195648419962,FRANKLIN PARK,4227552
4229432,0,787,inf,0.0,0.31242556570067487,GLASSPORT,4229432
4229592,0,121,inf,0.0,0.6505376344086021,GLENFIELD,4229592
4229732,0,73,inf,0.0,0.2616487455197133,GLEN OSBORNE,4229732
4231256,1,190,189.0,0.0004269854824935952,0.08112724167378309,GREEN TREE,4231256
4233312,0,45,inf,0.0,0.5555555555555556,HAYSVILLE,4233312
4233592,0,265,inf,0.0,0.3711484593837535,HEIDELBERG,4233592
4235424,0,60,inf,0.0,0.037290242386575516,HOMESTEAD,4235424
4237000,0,99,inf,0.0,0.06720977596741344,INGRAM,4237000
4237955,13,726,54.846153846153854,0.002253423470272144,0.12584503380135206,JEFFERSON HILLS,4237955
4242392,1,572,571.0,0.001303780964797914,0.7457627118644068,LEETSDALE,4242392
4243064,1,57,56.0,0.0007412898443291327,0.04225352112676056,LIBERTY,4243064
4243408,0,165,inf,0.0,0.2197070572569907,LINCOLN,4243408
4246072,84,297,2.5357142857142856,0.05965909090909091,0.2109375,MCDONALD,4246072
4246256,27,2270,83.07407407407408,0.002337864750194822,0.19655381418304615,MCKEESPORT,4246256
4246264,190,1515,6.973684210526317,0.06390850992263707,0.5095862764883956,MCKEES ROCKS,4246264
4249920,41,1247,29.414634146341466,0.021221532091097308,0.6454451345755694,MILLVALE,4249920
4250528,5,995,198.0,0.0004312575470070726,0.08582025185440745,MONROEVILLE,4250528
4251744,0,121,inf,0.0,0.0810448760884126,MOUNT OLIVER,4251744
4252320,47,478,9.170212765957446,0.009386858398242461,0.09546634711404034,MUNHALL,4252320
4254816,0,331,inf,0.0,0.0979869745411486,NORTH BRADDOCK,4254816
4255840,18,217,11.055555555555555,0.0225,0.27125,OAKDALE,4255840
4256088,1,847,845.9999999999999,0.0003502626970227671,0.2966725043782837,OAKMONT,4256088
4259152,0,0,,0.0,0.0,PENNSBURY VILLAGE,4259152
4260712,0,532,inf,0.0,0.35514018691588783,PITCAIRN,4260712
4261000,216,21797,99.91203703703704,0.0015131454511064877,0.152694589804482,PITTSBURGH,4261000
4261328,0,430,inf,0.0,0.12797619047619047,PLEASANT HILLS,4261328
4261536,6,1364,226.33333333333331,0.000518000518000518,0.1177587844254511,PLUM,4261536
4262320,2,124,61.00000000000001,0.0009657170449058426,0.05987445678416224,PORT VUE,4262320
4263408,3,317,104.66666666666667,0.0033407572383073497,0.3530066815144766,RANKIN,4263408
4266320,1,17,16.0,0.0036363636363636364,0.06181818181818182,ROSSLYN FARMS,4266320
4269376,0,722,inf,0.0,0.4257075471698113,SEWICKLEY,4269376
4269400,0,35,inf,0.0,0.07743362831858407,SEWICKLEY HEIGHTS,4269400
4269416,0,43,inf,0.0,0.13395638629283488,SEWICKLEY HILLS,4269416
4269776,2,1442,720.0,0.0012812299807815502,0.9237668161434978,SHARPSBURG,4269776
4272960,0,175,inf,0.0,0.10586811857229281,SPRINGDALE BR,4272960
4275816,2,126,62.00000000000001,0.0004905567819475104,0.03090507726269316,SWISSVALE,4275816
4276104,0,791,inf,0.0,0.36069311445508434,TARENTUM,4276104
4276560,0,11,inf,0.0,0.044897959183673466,THORNBURG,4276560
4277272,38,329,7.657894736842106,0.02247191011235955,0.19455943228858663,TRAFFORD,4277272
4277912,0,798,inf,0.0,0.3465045592705167,TURTLE CREEK,4277912
4280032,0,410,inf,0.0,0.36804308797127466,VERONA,4280032
4280040,0,135,inf,0.0,0.17857142857142858,VERSAILLES,4280040
4280600,0,240,inf,0.0,0.2733485193621868,WALL,4280600
4282848,0,311,inf,0.0,0.948170731707317,WEST ELIZABETH,4282848
4283200,2,182,89.99999999999999,0.0014771048744460858,0.1344165435745938,WEST HOMESTEAD,4283200
4283512,3,1100,365.6666666666667,0.0003012350637614218,0.11045285671252134,WEST MIFFLIN,4283512
4284144,0,265,inf,0.0,0.08685676827269748,WEST VIEW,4284144
4284440,0,72,inf,0.0,0.09742895805142084,WHITAKER,4284440
4284512,10,691,68.1,0.001785076758300607,0.12334880399857194,WHITEHALL,4284512
4284704,2,537,267.50000000000006,0.0004906771344455348,0.1317468105986261,WHITE OAK,4284704
4285188,0,1372,inf,0.0,0.1888506538196834,WILKINSBURG,4285188
4285496,0,447,inf,0.0,0.5028121484814398,WILMERDING,4285496
